gene,accession,segment_set,length,mature_range,removed_residues,A_molpct,C_molpct,D_molpct,E_molpct,F_molpct,G_molpct,H_molpct,I_molpct,K_molpct,L_molpct,M_molpct,N_molpct,P_molpct,Q_molpct,R_molpct,S_molpct,T_molpct,V_molpct,W_molpct,Y_molpct
TPM3,P06753,metabolic,285,2-285,M,13.3333,0.3509,6.6667,21.4035,0.3509,1.0526,0.7018,4.2105,13.3333,11.9298,2.8070,2.4561,0.0000,5.2632,4.9123,3.8596,2.8070,2.4561,0.0000,2.1053
TPM3,P06753,master,285,2-285,M,13.3803,0.3521,6.6901,21.4789,0.3521,1.0563,0.7042,4.2254,13.3803,11.9718,2.4648,2.4648,0.0000,5.2817,4.9296,3.8732,2.8169,2.4648,0.0000,2.1127
TNNT3,P45378,metabolic,269,2-269,M,9.6654,0.0000,6.6914,19.7026,1.4870,3.3457,2.2305,3.7175,14.4981,7.0632,1.4870,1.4870,2.6022,5.9480,9.2937,2.9740,2.6022,2.9740,0.7435,1.4870
TNNT3,P45378,master,269,2-269,M,9.7015,0.0000,6.7164,19.7761,1.4925,3.3582,2.2388,3.7313,14.5522,7.0896,1.1194,1.4925,2.6119,5.9701,9.3284,2.9851,2.6119,2.9851,0.7463,1.4925
TNNI1,P19237,metabolic,187,2-187,M,8.0214,1.6043,5.3476,11.7647,1.0695,3.2086,2.1390,2.1390,12.8342,11.7647,4.2781,1.6043,3.7433,2.1390,10.1604,5.8824,3.2086,6.9519,1.0695,1.0695
TNNI1,P19237,master,187,2-187,M,8.0645,1.6129,5.3763,11.8280,1.0753,3.2258,2.1505,2.1505,12.9032,11.8280,3.7634,1.6129,3.7634,2.1505,10.2151,5.9140,3.2258,6.9892,1.0753,1.0753
TNNI2,P48788,metabolic,182,2-182,M,7.1429,1.6484,6.0440,13.7363,1.6484,3.8462,2.7473,2.7473,12.6374,9.3407,5.4945,2.7473,2.7473,4.3956,9.3407,5.4945,2.1978,4.3956,0.5495,1.0989
TNNI2,P48788,master,182,2-182,M,7.1823,1.6575,6.0773,13.8122,1.6575,3.8674,2.7624,2.7624,12.7072,9.3923,4.9724,2.7624,2.7624,4.4199,9.3923,5.5249,2.2099,4.4199,0.5525,1.1050
TNNC2,P02585,metabolic,160,2-160,M,7.5000,0.6250,11.8750,16.2500,6.2500,8.1250,0.6250,6.2500,5.6250,5.6250,6.8750,1.8750,1.2500,3.1250,4.3750,4.3750,3.7500,4.3750,0.0000,1.2500
TNNC2,P02585,master,160,2-160,M,7.5472,0.6289,11.9497,16.3522,6.2893,8.1761,0.6289,6.2893,5.6604,5.6604,6.2893,1.8868,1.2579,3.1447,4.4025,4.4025,3.7736,4.4025,0.0000,1.2579
DES,P17661,metabolic,470,2-470,M,9.3617,0.2128,4.8936,12.1277,2.5532,4.4681,1.2766,3.8298,4.6809,10.4255,2.1277,4.2553,2.1277,6.8085,9.1489,7.6596,5.3191,5.5319,0.2128,2.9787
DES,P17661,master,470,2-470,M,9.3817,0.2132,4.9041,12.1535,2.5586,4.4776,1.2793,3.8380,4.6908,10.4478,1.9190,4.2644,2.1322,6.8230,9.1684,7.6759,5.3305,5.5437,0.2132,2.9851
CAPZA1,P52907,metabolic,286,2-286,M,7.3427,1.0490,7.3427,7.6923,5.2448,4.5455,2.7972,6.2937,6.9930,5.9441,1.3986,6.2937,3.4965,5.9441,4.8951,5.5944,5.9441,5.9441,1.7483,3.4965
CAPZA1,P52907,master,286,2-286,M,7.3684,1.0526,7.3684,7.7193,5.2632,4.5614,2.8070,6.3158,7.0175,5.9649,1.0526,6.3158,3.5088,5.9649,4.9123,5.6140,5.9649,5.9649,1.7544,3.5088
CAPZA2,P47755,metabolic,286,2-286,M,6.9930,1.3986,5.5944,9.0909,4.5455,4.5455,2.7972,6.9930,7.3427,6.6434,1.0490,6.2937,3.1469,5.9441,4.5455,4.1958,6.6434,6.9930,1.7483,3.4965
CAPZA2,P47755,master,286,2-286,M,7.0175,1.4035,5.6140,9.1228,4.5614,4.5614,2.8070,7.0175,7.3684,6.6667,0.7018,6.3158,3.1579,5.9649,4.5614,4.2105,6.6667,7.0175,1.7544,3.5088
CAPZB,P47756,metabolic,272,2-272,M,4.7794,2.2059,9.5588,5.5147,1.8382,6.6176,1.4706,4.4118,8.4559,11.3971,2.5735,4.4118,3.3088,4.7794,5.1471,8.8235,3.6765,6.2500,1.4706,3.3088
CAPZB,P47756,master,272,2-272,M,4.7970,2.2140,9.5941,5.5351,1.8450,6.6421,1.4760,4.4280,8.4871,11.4391,2.2140,4.4280,3.3210,4.7970,5.1661,8.8561,3.6900,6.2731,1.4760,3.3210
ALDOA,P04075,metabolic,364,2-364,M,11.5385,2.1978,3.8462,6.5934,2.1978,8.2418,2.4725,5.4945,7.1429,9.3407,1.0989,3.8462,5.2198,4.6703,4.1209,5.4945,6.0440,6.0440,0.8242,3.5714
ALDOA,P04075,master,364,2-364,M,11.5702,2.2039,3.8567,6.6116,2.2039,8.2645,2.4793,5.5096,7.1625,9.3664,0.8264,3.8567,5.2342,4.6832,4.1322,5.5096,6.0606,6.0606,0.8264,3.5813
GAPDH,P04406,metabolic,335,2-335,M,9.2537,0.8955,5.9701,3.8806,4.1791,9.8507,2.9851,6.5672,7.7612,5.6716,2.9851,5.6716,3.5821,2.0896,2.9851,6.2687,6.2687,9.5522,0.8955,2.6866
GAPDH,P04406,master,335,2-335,M,9.2814,0.8982,5.9880,3.8922,4.1916,9.8802,2.9940,6.5868,7.7844,5.6886,2.6946,5.6886,3.5928,2.0958,2.9940,6.2874,6.2874,9.5808,0.8982,2.6946
PKM,P14618,metabolic,531,2-531,M,10.1695,1.8832,5.4614,6.9680,3.2015,7.7213,2.2599,7.3446,6.9680,7.1563,3.0132,3.2015,4.5198,2.8249,5.8380,5.2731,5.4614,8.4746,0.5650,1.6949
PKM,P14618,master,531,2-531,M,10.1887,1.8868,5.4717,6.9811,3.2075,7.7358,2.2642,7.3585,6.9811,7.1698,2.8302,3.2075,4.5283,2.8302,5.8491,5.2830,5.4717,8.4906,0.5660,1.6981
ENO3,P13929,metabolic,434,2-434,M,10.5991,1.3825,5.9908,6.2212,3.6866,9.4470,1.6129,6.2212,8.5253,8.7558,2.0737,5.2995,3.9171,2.9954,3.9171,4.8387,3.9171,7.3733,0.6912,2.5346
ENO3,P13929,master,434,2-434,M,10.6236,1.3857,6.0046,6.2356,3.6952,9.4688,1.6166,6.2356,8.5450,8.7760,1.8476,5.3118,3.9261,3.0023,3.9261,4.8499,3.9261,7.3903,0.6928,2.5404
TPI1,P60174,metabolic,249,2-249,M,11.2450,2.0080,4.8193,6.8273,3.2129,10.0402,1.6064,6.0241,8.0321,6.0241,1.2048,3.2129,4.0161,4.4177,3.2129,4.8193,5.6225,10.0402,2.0080,1.6064
TPI1,P60174,master,249,2-249,M,11.2903,2.0161,4.8387,6.8548,3.2258,10.0806,1.6129,6.0484,8.0645,6.0484,0.8065,3.2258,4.0323,4.4355,3.2258,4.8387,5.6452,10.0806,2.0161,1.6129
PGK1,P00558,metabolic,417,2-417,M,9.8321,1.6787,5.5156,6.4748,3.8369,9.5923,1.1990,4.5564,10.0719,9.1127,3.3573,5.5156,4.0767,1.4388,2.6379,5.7554,4.0767,9.3525,0.9592,0.9592
PGK1,P00558,master,417,2-417,M,9.8558,1.6827,5.5288,6.4904,3.8462,9.6154,1.2019,4.5673,10.0962,9.1346,3.1250,5.5288,4.0865,1.4423,2.6442,5.7692,4.0865,9.3750,0.9615,0.9615
GPI,P06744,metabolic,558,2-558,M,7.1685,0.7168,4.8387,5.7348,5.0179,7.3477,3.7634,5.7348,6.2724,9.4982,2.6882,5.0179,3.9427,5.1971,4.8387,5.1971,6.6308,5.7348,2.1505,2.5090
GPI,P06744,master,558,2-558,M,7.1813,0.7181,4.8474,5.7451,5.0269,7.3609,3.7702,5.7451,6.2837,9.5153,2.5135,5.0269,3.9497,5.2065,4.8474,5.2065,6.6427,5.7451,2.1544,2.5135
LDHA,P00338,metabolic,332,2-332,M,5.4217,1.5060,5.4217,5.4217,2.1084,7.8313,2.1084,6.9277,8.4337,11.4458,2.7108,4.5181,3.3133,3.6145,3.3133,7.2289,4.2169,10.2410,1.8072,2.4096
LDHA,P00338,master,332,2-332,M,5.4381,1.5106,5.4381,5.4381,2.1148,7.8550,2.1148,6.9486,8.4592,11.4804,2.4169,4.5317,3.3233,3.6254,3.3233,7.2508,4.2296,10.2719,1.8127,2.4169
MB,P02144,metabolic,154,2-154,M,7.7922,0.6494,5.1948,9.0909,4.5455,9.7403,5.8442,5.1948,12.9870,11.0390,2.5974,1.9481,3.2468,4.5455,1.2987,4.5455,2.5974,4.5455,1.2987,1.2987
MB,P02144,master,154,2-154,M,7.8431,0.6536,5.2288,9.1503,4.5752,9.8039,5.8824,5.2288,13.0719,11.1111,1.9608,1.9608,3.2680,4.5752,1.3072,4.5752,2.6144,4.5752,1.3072,1.3072
PVALB,P20472,metabolic,110,2-110,M,9.0909,0.0000,13.6364,6.3636,8.1818,8.1818,1.8182,3.6364,14.5455,8.1818,5.4545,0.9091,0.9091,0.9091,0.9091,8.1818,3.6364,5.4545,0.0000,0.0000
PVALB,P20472,master,110,2-110,M,9.1743,0.0000,13.7615,6.4220,8.2569,8.2569,1.8349,3.6697,14.6789,8.2569,4.5872,0.9174,0.9174,0.9174,0.9174,8.2569,3.6697,5.5046,0.0000,0.0000
CA3,P07451,metabolic,260,2-260,M,5.3846,1.9231,6.1538,5.7692,4.6154,6.9231,4.6154,3.8462,6.9231,8.4615,1.5385,4.6154,8.0769,3.0769,4.6154,7.3077,4.6154,5.3846,3.0769,3.0769
CA3,P07451,master,260,2-260,M,5.4054,1.9305,6.1776,5.7915,4.6332,6.9498,4.6332,3.8610,6.9498,8.4942,1.1583,4.6332,8.1081,3.0888,4.6332,7.3359,4.6332,5.4054,3.0888,3.0888
PYGM,P11217,metabolic,842,2-842,M,7.7197,0.9501,6.1758,7.3634,4.8694,5.7007,2.7316,5.9382,5.4632,9.2637,2.7316,5.4632,4.1568,3.5629,7.4822,3.5629,4.2755,7.1259,1.4252,4.0380
PYGM,P11217,master,842,2-842,M,7.7289,0.9512,6.1831,7.3722,4.8751,5.7075,2.7348,5.9453,5.4697,9.2747,2.6159,5.4697,4.1617,3.5672,7.4911,3.5672,4.2806,7.1344,1.4269,4.0428
